Round_Number,Date,Home Team,Away_Team,Time
1,22/08/2025 18:30,Bayern Munich,RB Leipzig,18:30:00
1,23/08/2025 13:30,Heidenheim,Wolfsburg,13:30:00
1,23/08/2025 13:30,Union Berlin,Stuttgart,13:30:00
1,23/08/2025 13:30,Freiburg,Augsburg,13:30:00
1,23/08/2025 13:30,Ein Frankfurt,Werder Bremen,13:30:00
1,23/08/2025 13:30,Leverkusen,Hoffenheim,13:30:00
1,23/08/2025 16:30,St. Pauli,Dortmund,16:30:00
1,24/08/2025 13:30,Mainz,FC Koln,13:30:00
1,24/08/2025 15:30,M'gladbach,Hamburg,15:30:00
2,29/08/2025 18:30,Hamburg,St. Pauli,18:30:00
2,30/08/2025 13:30,Hoffenheim,Ein Frankfurt,13:30:00
2,30/08/2025 13:30,Stuttgart,M'gladbach,13:30:00
2,30/08/2025 13:30,Werder Bremen,Leverkusen,13:30:00
2,30/08/2025 13:30,RB Leipzig,Heidenheim,13:30:00
2,30/08/2025 16:30,Augsburg,Bayern Munich,16:30:00
2,31/08/2025 13:30,Wolfsburg,Mainz,13:30:00
2,31/08/2025 15:30,Dortmund,Union Berlin,15:30:00
2,31/08/2025 17:30,FC Koln,Freiburg,17:30:00
3,12/09/2025 18:30,Leverkusen,Ein Frankfurt,18:30:00
3,13/09/2025 13:30,Heidenheim,Dortmund,13:30:00
3,13/09/2025 13:30,Union Berlin,Hoffenheim,13:30:00
3,13/09/2025 13:30,Wolfsburg,FC Koln,13:30:00
3,13/09/2025 13:30,Mainz,RB Leipzig,13:30:00
3,13/09/2025 13:30,Freiburg,Stuttgart,13:30:00
3,13/09/2025 16:30,Bayern Munich,Hamburg,16:30:00
3,14/09/2025 13:30,St. Pauli,Augsburg,13:30:00
3,14/09/2025 15:30,M'gladbach,Werder Bremen,15:30:00
4,19/09/2025 18:30,Stuttgart,St. Pauli,18:30:00
4,20/09/2025 13:30,Hamburg,Heidenheim,13:30:00
4,20/09/2025 13:30,Hoffenheim,Bayern Munich,13:30:00
4,20/09/2025 13:30,Augsburg,Mainz,13:30:00
4,20/09/2025 13:30,Werder Bremen,Freiburg,13:30:00
4,20/09/2025 16:30,RB Leipzig,FC Koln,16:30:00
4,21/09/2025 13:30,Ein Frankfurt,Union Berlin,13:30:00
4,21/09/2025 15:30,Leverkusen,M'gladbach,15:30:00
4,21/09/2025 17:30,Dortmund,Wolfsburg,17:30:00
5,26/09/2025 18:30,Bayern Munich,Werder Bremen,18:30:00
5,27/09/2025 13:30,Heidenheim,Augsburg,13:30:00
5,27/09/2025 13:30,St. Pauli,Leverkusen,13:30:00
5,27/09/2025 13:30,Wolfsburg,RB Leipzig,13:30:00
5,27/09/2025 13:30,Mainz,Dortmund,13:30:00
5,27/09/2025 16:30,M'gladbach,Ein Frankfurt,16:30:00
