match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
06/08/2021,F1,Monaco,Nantes,1,1,GG,No,1,1,Draw,5,2,7,Home Win,0,0,Draw
07/08/2021,F1,Lyon,Brest,1,1,GG,No,0,1,Away Win,9,4,13,Home Win,1,1,Draw
07/08/2021,F1,Troyes,PSG,1,2,GG,Yes,1,2,Away Win,9,1,10,Home Win,1,4,Away Win
08/08/2021,F1,Rennes,Lens,1,1,GG,No,1,1,Draw,3,9,12,Away Win,0,2,Away Win
08/08/2021,F1,Bordeaux,Clermont,0,2,NG,No,0,0,Draw,5,10,15,Away Win,1,0,Home Win
08/08/2021,F1,Nice,Reims,0,0,NG,No,0,0,Draw,4,2,6,Home Win,1,1,Draw
08/08/2021,F1,St Etienne,Lorient,1,1,GG,No,0,0,Draw,8,4,12,Home Win,2,3,Away Win
08/08/2021,F1,Strasbourg,Angers,0,2,NG,No,0,0,Draw,5,4,9,Home Win,2,3,Away Win
08/08/2021,F1,Metz,Lille,3,3,GG,Yes,2,1,Home Win,4,5,9,Away Win,1,2,Away Win
08/08/2021,F1,Montpellier,Marseille,2,3,GG,Yes,2,0,Home Win,6,11,17,Away Win,0,1,Away Win
13/08/2021,F1,Lorient,Monaco,1,0,NG,No,1,0,Home Win,0,6,6,Away Win,3,2,Home Win
14/08/2021,F1,Lille,Nice,0,4,NG,Yes,0,3,Away Win,8,7,15,Home Win,3,1,Home Win
14/08/2021,F1,PSG,Strasbourg,4,2,GG,Yes,3,0,Home Win,4,4,8,Draw,1,4,Away Win
15/08/2021,F1,Angers,Lyon,3,0,NG,Yes,1,0,Home Win,6,4,10,Home Win,1,5,Away Win
15/08/2021,F1,Brest,Rennes,1,1,GG,No,0,0,Draw,6,11,17,Away Win,2,3,Away Win
15/08/2021,F1,Clermont,Troyes,2,0,NG,No,0,0,Draw,9,2,11,Home Win,1,3,Away Win
15/08/2021,F1,Nantes,Metz,2,0,NG,No,1,0,Home Win,6,6,12,Draw,2,0,Home Win
15/08/2021,F1,Reims,Montpellier,3,3,GG,Yes,2,3,Away Win,8,7,15,Home Win,2,1,Home Win
