Round Number,Date,Home Team,Away Team,Time
1,15/08/2025 18:45,Rennes,Marseille,18:45:00
1,16/08/2025 15:00,Lens,Lyon,15:00:00
1,16/08/2025 17:00,Monaco,Le Havre,17:00:00
1,16/08/2025 19:05,Nice,Toulouse,19:05:00
1,17/08/2025 13:00,Brest,Lille,13:00:00
1,17/08/2025 15:15,Angers,Paris FC,15:15:00
1,17/08/2025 15:15,Auxerre,Lorient,15:15:00
1,17/08/2025 15:15,Metz,Strasbourg,15:15:00
1,17/08/2025 20:45,Nantes,PSG,20:45:00
2,22/08/2025 18:45,PSG,Angers,18:45:00
2,23/08/2025 15:00,Marseille,Paris FC,15:00:00
2,23/08/2025 17:00,Nice,Auxerre,17:00:00
2,23/08/2025 19:05,Lyon,Metz,19:05:00
2,24/08/2025 13:00,Lorient,Rennes,13:00:00
2,24/08/2025 15:15,Le Havre,Lens,15:15:00
2,24/08/2025 15:15,Strasbourg,Nantes,15:15:00
2,24/08/2025 15:15,Toulouse,Brest,15:15:00
2,24/08/2025 18:45,Lille,Monaco,18:45:00
3,29/08/2025 18:45,Lens,Brest,18:45:00
3,30/08/2025 15:00,Lorient,Lille,15:00:00
3,30/08/2025 17:00,Nantes,Auxerre,17:00:00
3,30/08/2025 19:05,Toulouse,PSG,19:05:00
3,31/08/2025 13:00,Angers,Rennes,13:00:00
3,31/08/2025 15:15,Le Havre,Nice,15:15:00
3,31/08/2025 15:15,Monaco,Strasbourg,15:15:00
3,31/08/2025 15:15,Paris FC,Metz,15:15:00
3,31/08/2025 18:45,Lyon,Marseille,18:45:00
4,12/09/2025 18:45,Marseille,Lorient,18:45:00
4,13/09/2025 15:00,Nice,Nantes,15:00:00
4,13/09/2025 19:05,Auxerre,Monaco,19:05:00
4,14/09/2025 13:00,Lille,Toulouse,13:00:00
4,14/09/2025 15:15,Brest,Paris FC,15:15:00
4,14/09/2025 15:15,Metz,Angers,15:15:00
4,14/09/2025 15:15,PSG,Lens,15:15:00
4,14/09/2025 15:15,Strasbourg,Le Havre,15:15:00
4,14/09/2025 18:45,Rennes,Lyon,18:45:00
5,19/09/2025 18:45,Lyon,Angers,18:45:00
5,20/09/2025 15:00,Nantes,Rennes,15:00:00
5,20/09/2025 17:00,Brest,Nice,17:00:00
5,20/09/2025 19:05,Lens,Lille,19:05:00
5,21/09/2025 13:00,Paris FC,Strasbourg,13:00:00
5,21/09/2025 15:15,Auxerre,Toulouse,15:15:00
5,21/09/2025 15:15,Le Havre,Lorient,15:15:00
5,21/09/2025 15:15,Monaco,Metz,15:15:00
5,22/09/2025 18:00,Marseille,PSG,18:00:00
6,26/09/2025 18:45,Strasbourg,Marseille,18:45:00
6,27/09/2025 15:00,Lorient,Monaco,15:00:00
6,27/09/2025 17:00,Toulouse,Nantes,17:00:00
6,27/09/2025 19:05,PSG,Auxerre,19:05:00
6,28/09/2025 13:00,Nice,Paris FC,13:00:00
6,28/09/2025 15:15,Angers,Brest,15:15:00
6,28/09/2025 15:15,Lille,Lyon,15:15:00
6,28/09/2025 15:15,Metz,Le Havre,15:15:00
6,28/09/2025 18:45,Rennes,Lens,18:45:00
7,03/10/2025 18:45,Paris FC,Lorient,18:45:00
7,04/10/2025 15:00,Metz,Marseille,15:00:00
7,04/10/2025 17:00,Brest,Nantes,17:00:00
7,04/10/2025 19:05,Auxerre,Lens,19:05:00
7,05/10/2025 13:00,Lyon,Toulouse,13:00:00
7,05/10/2025 15:15,Le Havre,Rennes,15:15:00
7,05/10/2025 15:15,Monaco,Nice,15:15:00
7,05/10/2025 15:15,Strasbourg,Angers,15:15:00
7,05/10/2025 18:45,Lille,PSG,18:45:00
8,17/10/2025 18:45,PSG,Strasbourg,18:45:00
8,18/10/2025 15:00,Nice,Lyon,15:00:00
8,18/10/2025 17:00,Angers,Monaco,17:00:00
8,18/10/2025 19:05,Marseille,Le Havre,19:05:00
8,19/10/2025 13:00,Lens,Paris FC,13:00:00
8,19/10/2025 15:15,Lorient,Brest,15:15:00
8,19/10/2025 15:15,Rennes,Auxerre,15:15:00
8,19/10/2025 15:15,Toulouse,Metz,15:15:00
8,19/10/2025 18:45,Nantes,Lille,18:45:00
9,24/10/2025 18:45,Paris FC,Nantes,18:45:00
9,25/10/2025 15:00,Brest,PSG,15:00:00
9,25/10/2025 17:00,Monaco,Toulouse,17:00:00
9,25/10/2025 19:05,Lens,Marseille,19:05:00
9,26/10/2025 14:00,Lille,Metz,14:00:00
9,26/10/2025 16:15,Angers,Lorient,16:15:00
9,26/10/2025 16:15,Auxerre,Le Havre,16:15:00
9,26/10/2025 16:15,Rennes,Nice,16:15:00
9,26/10/2025 19:45,Lyon,Strasbourg,19:45:00
10,29/10/2025 18:00,Le Havre,Brest,18:00:00
10,29/10/2025 18:00,Lorient,PSG,18:00:00
10,29/10/2025 18:00,Metz,Lens,18:00:00
10,29/10/2025 18:00,Nice,Lille,18:00:00
10,29/10/2025 20:05,Marseille,Angers,20:05:00
10,29/10/2025 20:05,Nantes,Monaco,20:05:00
10,29/10/2025 20:05,Paris FC,Lyon,20:05:00
10,29/10/2025 20:05,Strasbourg,Auxerre,20:05:00
10,29/10/2025 20:05,Toulouse,Rennes,20:05:00
11,01/11/2025 16:00,PSG,Nice,16:00:00
11,01/11/2025 18:00,Monaco,Paris FC,18:00:00
11,01/11/2025 20:05,Auxerre,Marseille,20:05:00
11,02/11/2025 14:00,Rennes,Strasbourg,14:00:00
11,02/11/2025 16:15,Lens,Lorient,16:15:00
11,02/11/2025 16:15,Lille,Angers,16:15:00
11,02/11/2025 16:15,Nantes,Metz,16:15:00
11,02/11/2025 16:15,Toulouse,Le Havre,16:15:00
11,02/11/2025 19:45,Brest,Lyon,19:45:00
12,07/11/2025 19:45,Paris FC,Rennes,19:45:00
12,08/11/2025 16:00,Marseille,Brest,16:00:00
12,08/11/2025 18:00,Le Havre,Nantes,18:00:00
12,08/11/2025 20:05,Monaco,Lens,20:05:00
12,09/11/2025 14:00,Lorient,Toulouse,14:00:00
12,09/11/2025 16:15,Angers,Auxerre,16:15:00
12,09/11/2025 16:15,Metz,Nice,16:15:00
12,09/11/2025 16:15,Strasbourg,Lille,16:15:00
12,09/11/2025 19:45,Lyon,PSG,19:45:00
13,21/11/2025 19:45,Nice,Marseille,19:45:00
13,22/11/2025 16:00,Lens,Strasbourg,16:00:00
13,22/11/2025 18:00,Rennes,Monaco,18:00:00
13,22/11/2025 20:05,PSG,Le Havre,20:05:00
13,23/11/2025 14:00,Auxerre,Lyon,14:00:00
13,23/11/2025 16:15,Brest,Metz,16:15:00
13,23/11/2025 16:15,Nantes,Lorient,16:15:00
13,23/11/2025 16:15,Toulouse,Angers,16:15:00
13,23/11/2025 19:45,Lille,Paris FC,19:45:00
14,28/11/2025 19:45,Metz,Rennes,19:45:00
14,29/11/2025 16:00,Monaco,PSG,16:00:00
14,29/11/2025 18:00,Paris FC,Auxerre,18:00:00
14,29/11/2025 20:05,Marseille,Toulouse,20:05:00
14,30/11/2025 14:00,Strasbourg,Brest,14:00:00
14,30/11/2025 16:15,Angers,Lens,16:15:00
14,30/11/2025 16:15,Le Havre,Lille,16:15:00
14,30/11/2025 16:15,Lorient,Nice,16:15:00
14,30/11/2025 19:45,Lyon,Nantes,19:45:00
15,05/12/2025 18:00,Brest,Monaco,18:00:00
15,05/12/2025 20:00,Lille,Marseille,20:00:00
15,06/12/2025 16:00,Nantes,Lens,16:00:00
15,06/12/2025 18:00,Toulouse,Strasbourg,18:00:00
15,06/12/2025 20:05,PSG,Rennes,20:05:00
15,07/12/2025 14:00,Nice,Angers,14:00:00
15,07/12/2025 16:15,Auxerre,Metz,16:15:00
15,07/12/2025 16:15,Le Havre,Paris FC,16:15:00
15,07/12/2025 19:45,Lorient,Lyon,19:45:00
16,12/12/2025 19:45,Angers,Nantes,19:45:00
16,13/12/2025 16:00,Rennes,Brest,16:00:00
16,13/12/2025 18:00,Metz,PSG,18:00:00
16,13/12/2025 20:05,Paris FC,Toulouse,20:05:00
16,14/12/2025 14:00,Lyon,Le Havre,14:00:00
16,14/12/2025 16:15,Auxerre,Lille,16:15:00
16,14/12/2025 16:15,Lens,Nice,16:15:00
16,14/12/2025 16:15,Strasbourg,Lorient,16:15:00
16,14/12/2025 19:45,Marseille,Monaco,19:45:00
17,02/01/2026 19:45,Toulouse,Lens,19:45:00
17,03/01/2026 16:00,Monaco,Lyon,16:00:00
17,03/01/2026 18:00,Nice,Strasbourg,18:00:00
17,03/01/2026 20:05,Lille,Rennes,20:05:00
17,04/01/2026 14:00,Marseille,Nantes,14:00:00
17,04/01/2026 16:15,Brest,Auxerre,16:15:00
17,04/01/2026 16:15,Le Havre,Angers,16:15:00
17,04/01/2026 16:15,Lorient,Metz,16:15:00
17,04/01/2026 19:45,PSG,Paris FC,19:45:00
18,16/01/2026 18:00,Monaco,Lorient,18:00:00
18,16/01/2026 20:00,PSG,Lille,20:00:00
18,17/01/2026 16:00,Lens,Auxerre,16:00:00
18,17/01/2026 18:00,Toulouse,Nice,18:00:00
18,17/01/2026 20:05,Angers,Marseille,20:05:00
18,18/01/2026 14:00,Strasbourg,Metz,14:00:00
18,18/01/2026 16:15,Nantes,Paris FC,16:15:00
18,18/01/2026 16:15,Rennes,Le Havre,16:15:00
18,18/01/2026 19:45,Lyon,Brest,19:45:00
19,24/01/2026 23:00,Auxerre,PSG,23:00:00
19,24/01/2026 23:00,Brest,Toulouse,23:00:00
19,24/01/2026 23:00,Le Havre,Monaco,23:00:00
19,24/01/2026 23:00,Lille,Strasbourg,23:00:00
19,24/01/2026 23:00,Marseille,Lens,23:00:00
19,24/01/2026 23:00,Metz,Lyon,23:00:00
19,24/01/2026 23:00,Nantes,Nice,23:00:00
19,24/01/2026 23:00,Paris FC,Angers,23:00:00
19,24/01/2026 23:00,Rennes,Lorient,23:00:00
20,31/01/2026 23:00,Angers,Metz,23:00:00
20,31/01/2026 23:00,Lens,Le Havre,23:00:00
20,31/01/2026 23:00,Lorient,Nantes,23:00:00
20,31/01/2026 23:00,Lyon,Lille,23:00:00
20,31/01/2026 23:00,Monaco,Rennes,23:00:00
20,31/01/2026 23:00,Nice,Brest,23:00:00
20,31/01/2026 23:00,Paris FC,Marseille,23:00:00
20,31/01/2026 23:00,Strasbourg,PSG,23:00:00
20,31/01/2026 23:00,Toulouse,Auxerre,23:00:00
21,07/02/2026 23:00,Angers,Toulouse,23:00:00
21,07/02/2026 23:00,Auxerre,Paris FC,23:00:00
21,07/02/2026 23:00,Brest,Lorient,23:00:00
21,07/02/2026 23:00,Le Havre,Strasbourg,23:00:00
21,07/02/2026 23:00,Lens,Rennes,23:00:00
21,07/02/2026 23:00,Metz,Lille,23:00:00
21,07/02/2026 23:00,Nantes,Lyon,23:00:00
21,07/02/2026 23:00,Nice,Monaco,23:00:00
21,07/02/2026 23:00,PSG,Marseille,23:00:00
22,14/02/2026 23:00,Le Havre,Toulouse,23:00:00
22,14/02/2026 23:00,Lille,Brest,23:00:00
22,14/02/2026 23:00,Lorient,Angers,23:00:00
22,14/02/2026 23:00,Lyon,Nice,23:00:00
22,14/02/2026 23:00,Marseille,Strasbourg,23:00:00
22,14/02/2026 23:00,Metz,Auxerre,23:00:00
22,14/02/2026 23:00,Monaco,Nantes,23:00:00
22,14/02/2026 23:00,Paris FC,Lens,23:00:00
22,14/02/2026 23:00,Rennes,PSG,23:00:00
23,21/02/2026 23:00,Angers,Lille,23:00:00
23,21/02/2026 23:00,Auxerre,Rennes,23:00:00
23,21/02/2026 23:00,Brest,Marseille,23:00:00
23,21/02/2026 23:00,Lens,Monaco,23:00:00
23,21/02/2026 23:00,Nantes,Le Havre,23:00:00
23,21/02/2026 23:00,Nice,Lorient,23:00:00
23,21/02/2026 23:00,PSG,Metz,23:00:00
23,21/02/2026 23:00,Strasbourg,Lyon,23:00:00
23,21/02/2026 23:00,Toulouse,Paris FC,23:00:00
24,28/02/2026 23:00,Le Havre,PSG,23:00:00
24,28/02/2026 23:00,Lille,Nantes,23:00:00
24,28/02/2026 23:00,Lorient,Auxerre,23:00:00
24,28/02/2026 23:00,Marseille,Lyon,23:00:00
24,28/02/2026 23:00,Metz,Brest,23:00:00
24,28/02/2026 23:00,Monaco,Angers,23:00:00
24,28/02/2026 23:00,Paris FC,Nice,23:00:00
24,28/02/2026 23:00,Rennes,Toulouse,23:00:00
24,28/02/2026 23:00,Strasbourg,Lens,23:00:00
25,07/03/2026 23:00,Auxerre,Strasbourg,23:00:00
25,07/03/2026 23:00,Brest,Le Havre,23:00:00
25,07/03/2026 23:00,Lens,Metz,23:00:00
25,07/03/2026 23:00,Lille,Lorient,23:00:00
25,07/03/2026 23:00,Lyon,Paris FC,23:00:00
25,07/03/2026 23:00,Nantes,Angers,23:00:00
25,07/03/2026 23:00,Nice,Rennes,23:00:00
25,07/03/2026 23:00,PSG,Monaco,23:00:00
25,07/03/2026 23:00,Toulouse,Marseille,23:00:00
26,14/03/2026 23:00,Angers,Nice,23:00:00
26,14/03/2026 23:00,Le Havre,Lyon,23:00:00
26,14/03/2026 23:00,Lorient,Lens,23:00:00
26,14/03/2026 23:00,Marseille,Auxerre,23:00:00
26,14/03/2026 23:00,Metz,Toulouse,23:00:00
26,14/03/2026 23:00,Monaco,Brest,23:00:00
26,14/03/2026 23:00,PSG,Nantes,23:00:00
26,14/03/2026 23:00,Rennes,Lille,23:00:00
26,14/03/2026 23:00,Strasbourg,Paris FC,23:00:00
27,21/03/2026 23:00,Auxerre,Brest,23:00:00
27,21/03/2026 23:00,Lens,Angers,23:00:00
27,21/03/2026 23:00,Lyon,Monaco,23:00:00
27,21/03/2026 23:00,Marseille,Lille,23:00:00
27,21/03/2026 23:00,Nantes,Strasbourg,23:00:00
27,21/03/2026 23:00,Nice,PSG,23:00:00
27,21/03/2026 23:00,Paris FC,Le Havre,23:00:00
27,21/03/2026 23:00,Rennes,Metz,23:00:00
27,21/03/2026 23:00,Toulouse,Lorient,23:00:00
28,04/04/2026 22:00,Angers,Lyon,22:00:00
28,04/04/2026 22:00,Brest,Rennes,22:00:00
28,04/04/2026 22:00,Le Havre,Auxerre,22:00:00
28,04/04/2026 22:00,Lille,Lens,22:00:00
28,04/04/2026 22:00,Lorient,Paris FC,22:00:00
28,04/04/2026 22:00,Metz,Nantes,22:00:00
28,04/04/2026 22:00,Monaco,Marseille,22:00:00
28,04/04/2026 22:00,PSG,Toulouse,22:00:00
28,04/04/2026 22:00,Strasbourg,Nice,22:00:00
29,11/04/2026 22:00,Auxerre,Nantes,22:00:00
29,11/04/2026 22:00,Brest,Strasbourg,22:00:00
29,11/04/2026 22:00,Lens,PSG,22:00:00
29,11/04/2026 22:00,Lyon,Lorient,22:00:00
29,11/04/2026 22:00,Marseille,Metz,22:00:00
29,11/04/2026 22:00,Nice,Le Havre,22:00:00
29,11/04/2026 22:00,Paris FC,Monaco,22:00:00
29,11/04/2026 22:00,Rennes,Angers,22:00:00
29,11/04/2026 22:00,Toulouse,Lille,22:00:00
30,18/04/2026 22:00,Angers,Le Havre,22:00:00
30,18/04/2026 22:00,Lens,Toulouse,22:00:00
30,18/04/2026 22:00,Lille,Nice,22:00:00
30,18/04/2026 22:00,Lorient,Marseille,22:00:00
30,18/04/2026 22:00,Metz,Paris FC,22:00:00
30,18/04/2026 22:00,Monaco,Auxerre,22:00:00
30,18/04/2026 22:00,Nantes,Brest,22:00:00
30,18/04/2026 22:00,PSG,Lyon,22:00:00
30,18/04/2026 22:00,Strasbourg,Rennes,22:00:00
31,25/04/2026 22:00,Angers,PSG,22:00:00
31,25/04/2026 22:00,Brest,Lens,22:00:00
31,25/04/2026 22:00,Le Havre,Metz,22:00:00
31,25/04/2026 22:00,Lorient,Strasbourg,22:00:00
31,25/04/2026 22:00,Lyon,Auxerre,22:00:00
31,25/04/2026 22:00,Marseille,Nice,22:00:00
31,25/04/2026 22:00,Paris FC,Lille,22:00:00
31,25/04/2026 22:00,Rennes,Nantes,22:00:00
31,25/04/2026 22:00,Toulouse,Monaco,22:00:00
32,02/05/2026 22:00,Auxerre,Angers,22:00:00
32,02/05/2026 22:00,Lille,Le Havre,22:00:00
32,02/05/2026 22:00,Lyon,Rennes,22:00:00
32,02/05/2026 22:00,Metz,Monaco,22:00:00
32,02/05/2026 22:00,Nantes,Marseille,22:00:00
32,02/05/2026 22:00,Nice,Lens,22:00:00
32,02/05/2026 22:00,Paris FC,Brest,22:00:00
32,02/05/2026 22:00,PSG,Lorient,22:00:00
32,02/05/2026 22:00,Strasbourg,Toulouse,22:00:00
33,08/05/2026 22:00,Angers,Strasbourg,22:00:00
33,08/05/2026 22:00,Auxerre,Nice,22:00:00
33,08/05/2026 22:00,Le Havre,Marseille,22:00:00
33,08/05/2026 22:00,Lens,Nantes,22:00:00
33,08/05/2026 22:00,Metz,Lorient,22:00:00
33,08/05/2026 22:00,Monaco,Lille,22:00:00
33,08/05/2026 22:00,PSG,Brest,22:00:00
33,08/05/2026 22:00,Rennes,Paris FC,22:00:00
33,08/05/2026 22:00,Toulouse,Lyon,22:00:00
34,15/05/2026 22:00,Brest,Angers,22:00:00
34,15/05/2026 22:00,Lille,Auxerre,22:00:00
34,15/05/2026 22:00,Lorient,Le Havre,22:00:00
