Round_Number,Date,Home Team,Away_Team
1,23/08/2025 16:30,Genoa,Lecce
1,23/08/2025 16:30,Sassuolo,Napoli
1,23/08/2025 18:45,Milan,Cremonese
1,23/08/2025 18:45,Roma,Bologna
1,24/08/2025 16:30,Cagliari,Fiorentina
1,24/08/2025 16:30,Como,Lazio
1,24/08/2025 18:45,Atalanta,Pisa
1,24/08/2025 18:45,Juventus,Parma
1,25/08/2025 16:30,Udinese,Verona
1,25/08/2025 18:45,Inter,Torino
2,29/08/2025 16:30,Cremonese,Sassuolo
2,29/08/2025 18:45,Lecce,Milan
2,30/08/2025 16:30,Bologna,Como
2,30/08/2025 16:30,Parma,Atalanta
2,30/08/2025 18:45,Napoli,Cagliari
2,30/08/2025 18:45,Pisa,Roma
2,31/08/2025 16:30,Genoa,Juventus
2,31/08/2025 16:30,Torino,Fiorentina
2,31/08/2025 18:45,Inter,Udinese
2,31/08/2025 18:45,Lazio,Verona
3,13/09/2025 13:00,Cagliari,Parma
3,13/09/2025 16:00,Juventus,Inter
3,13/09/2025 18:45,Fiorentina,Napoli
3,14/09/2025 10:30,Roma,Torino
3,14/09/2025 13:00,Atalanta,Lecce
3,14/09/2025 13:00,Pisa,Udinese
3,14/09/2025 16:00,Sassuolo,Lazio
3,14/09/2025 18:45,Milan,Bologna
3,15/09/2025 16:30,Verona,Cremonese
3,15/09/2025 18:45,Como,Genoa
4,19/09/2025 18:45,Lecce,Cagliari
4,20/09/2025 13:00,Bologna,Genoa
4,20/09/2025 16:00,Verona,Juventus
4,20/09/2025 18:45,Udinese,Milan
4,21/09/2025 13:00,Torino,Atalanta
4,21/09/2025 13:00,Cremonese,Parma
4,21/09/2025 16:00,Fiorentina,Como
4,21/09/2025 18:45,Inter,Sassuolo
4,21/09/2025 22:30,Lazio,Roma
4,22/09/2025 18:45,Napoli,Pisa
5,27/09/2025 13:00,Como,Cremonese
5,27/09/2025 16:00,Juventus,Atalanta
5,27/09/2025 18:45,Cagliari,Inter
5,28/09/2025 10:30,Sassuolo,Udinese
5,28/09/2025 13:00,Pisa,Fiorentina
5,28/09/2025 13:00,Roma,Verona
5,28/09/2025 16:00,Lecce,Bologna
5,28/09/2025 18:45,Genoa,Lazio
5,28/09/2025 18:45,Milan,Napoli
5,29/09/2025 16:30,Parma,Torino
6,03/10/2025 18:45,Verona,Sassuolo
6,04/10/2025 13:00,Lazio,Torino
6,04/10/2025 13:00,Parma,Lecce
6,04/10/2025 16:00,Inter,Cremonese
6,04/10/2025 18:45,Atalanta,Como
6,05/10/2025 10:30,Udinese,Cagliari
6,05/10/2025 13:00,Bologna,Pisa
6,05/10/2025 13:00,Fiorentina,Roma
6,05/10/2025 16:00,Napoli,Genoa
6,05/10/2025 18:45,Juventus,Milan
7,18/10/2025 13:00,Lecce,Sassuolo
7,18/10/2025 13:00,Pisa,Verona
7,18/10/2025 16:00,Torino,Napoli
7,18/10/2025 18:45,Roma,Inter
7,19/10/2025 10:30,Como,Juventus
7,19/10/2025 13:00,Cagliari,Bologna
7,19/10/2025 13:00,Genoa,Parma
7,19/10/2025 16:00,Atalanta,Lazio
7,19/10/2025 18:45,Milan,Fiorentina
7,20/10/2025 18:45,Cremonese,Udinese
8,24/10/2025 18:45,Milan,Pisa
8,25/10/2025 13:00,Udinese,Lecce
8,25/10/2025 13:00,Parma,Como
8,25/10/2025 16:00,Napoli,Inter
8,25/10/2025 18:45,Cremonese,Atalanta
8,26/10/2025 11:30,Torino,Genoa
8,26/10/2025 14:00,Verona,Cagliari
8,26/10/2025 14:00,Sassuolo,Roma
8,26/10/2025 17:00,Fiorentina,Bologna
8,26/10/2025 19:45,Lazio,Juventus
9,28/10/2025 17:30,Lecce,Napoli
9,28/10/2025 19:45,Atalanta,Milan
9,29/10/2025 17:30,Bologna,Torino
9,29/10/2025 17:30,Juventus,Udinese
9,29/10/2025 17:30,Roma,Parma
9,29/10/2025 19:45,Como,Verona
9,29/10/2025 19:45,Genoa,Cremonese
9,29/10/2025 19:45,Inter,Fiorentina
9,30/10/2025 17:30,Cagliari,Sassuolo
9,30/10/2025 19:45,Pisa,Lazio
10,01/11/2025 14:00,Udinese,Atalanta
10,01/11/2025 17:00,Napoli,Como
10,01/11/2025 19:45,Cremonese,Juventus
10,02/11/2025 11:30,Verona,Inter
10,02/11/2025 14:00,Fiorentina,Lecce
10,02/11/2025 14:00,Torino,Pisa
10,02/11/2025 17:00,Parma,Bologna
10,02/11/2025 19:45,Milan,Roma
10,03/11/2025 17:30,Sassuolo,Genoa
10,03/11/2025 19:45,Lazio,Cagliari
11,07/11/2025 19:45,Pisa,Cremonese
11,08/11/2025 14:00,Como,Cagliari
11,08/11/2025 14:00,Lecce,Verona
11,08/11/2025 17:00,Juventus,Torino
11,08/11/2025 19:45,Parma,Milan
11,09/11/2025 11:30,Atalanta,Sassuolo
11,09/11/2025 14:00,Bologna,Napoli
11,09/11/2025 14:00,Genoa,Fiorentina
11,09/11/2025 17:00,Roma,Udinese
11,09/11/2025 19:45,Inter,Lazio
12,22/11/2025 14:00,Cagliari,Genoa
12,22/11/2025 14:00,Udinese,Bologna
12,22/11/2025 17:00,Fiorentina,Juventus
12,22/11/2025 19:45,Napoli,Atalanta
12,23/11/2025 11:30,Verona,Parma
12,23/11/2025 14:00,Cremonese,Roma
12,23/11/2025 17:00,Lazio,Lecce
12,23/11/2025 19:45,Inter,Milan
12,24/11/2025 17:30,Torino,Como
12,24/11/2025 19:45,Sassuolo,Pisa
13,30/11/2025 14:00,Atalanta,Fiorentina
13,30/11/2025 14:00,Bologna,Cremonese
13,30/11/2025 14:00,Como,Sassuolo
13,30/11/2025 14:00,Genoa,Verona
13,30/11/2025 14:00,Juventus,Cagliari
13,30/11/2025 14:00,Lecce,Torino
13,30/11/2025 14:00,Milan,Lazio
13,30/11/2025 14:00,Parma,Udinese
13,30/11/2025 14:00,Pisa,Inter
13,30/11/2025 14:00,Roma,Napoli
14,07/12/2025 14:00,Cagliari,Roma
14,07/12/2025 14:00,Cremonese,Lecce
14,07/12/2025 14:00,Inter,Como
14,07/12/2025 14:00,Lazio,Bologna
14,07/12/2025 14:00,Napoli,Juventus
14,07/12/2025 14:00,Pisa,Parma
14,07/12/2025 14:00,Sassuolo,Fiorentina
14,07/12/2025 14:00,Torino,Milan
14,07/12/2025 14:00,Udinese,Genoa
14,07/12/2025 14:00,Verona,Atalanta
15,14/12/2025 14:00,Atalanta,Cagliari
15,14/12/2025 14:00,Bologna,Juventus
15,14/12/2025 14:00,Fiorentina,Verona
15,14/12/2025 14:00,Genoa,Inter
15,14/12/2025 14:00,Lecce,Pisa
15,14/12/2025 14:00,Milan,Sassuolo
15,14/12/2025 14:00,Parma,Lazio
15,14/12/2025 14:00,Roma,Como
15,14/12/2025 14:00,Torino,Cremonese
15,14/12/2025 14:00,Udinese,Napoli
16,21/12/2025 14:00,Cagliari,Pisa
16,21/12/2025 14:00,Como,Milan
16,21/12/2025 14:00,Fiorentina,Udinese
16,21/12/2025 14:00,Genoa,Atalanta
16,21/12/2025 14:00,Inter,Lecce
16,21/12/2025 14:00,Juventus,Roma
16,21/12/2025 14:00,Lazio,Cremonese
16,21/12/2025 14:00,Napoli,Parma
16,21/12/2025 14:00,Sassuolo,Torino
16,21/12/2025 14:00,Verona,Bologna
17,28/12/2025 14:00,Bologna,Sassuolo
17,28/12/2025 14:00,Cremonese,Napoli
17,28/12/2025 14:00,Lecce,Como
17,28/12/2025 14:00,Milan,Verona
17,28/12/2025 14:00,Parma,Fiorentina
17,28/12/2025 14:00,Pisa,Juventus
17,28/12/2025 14:00,Roma,Genoa
17,28/12/2025 14:00,Torino,Cagliari
17,28/12/2025 14:00,Udinese,Lazio
17,28/12/2025 14:00,Atalanta,Inter
18,03/01/2026 14:00,Atalanta,Roma
18,03/01/2026 14:00,Cagliari,Milan
18,03/01/2026 14:00,Como,Udinese
18,03/01/2026 14:00,Fiorentina,Cremonese
18,03/01/2026 14:00,Genoa,Pisa
18,03/01/2026 14:00,Inter,Bologna
18,03/01/2026 14:00,Juventus,Lecce
18,03/01/2026 14:00,Lazio,Napoli
18,03/01/2026 14:00,Sassuolo,Parma
18,03/01/2026 14:00,Verona,Torino
19,06/01/2026 14:00,Bologna,Atalanta
19,06/01/2026 14:00,Cremonese,Cagliari
19,06/01/2026 14:00,Lazio,Fiorentina
19,06/01/2026 14:00,Lecce,Roma
19,06/01/2026 14:00,Milan,Genoa
19,06/01/2026 14:00,Napoli,Verona
19,06/01/2026 14:00,Parma,Inter
19,06/01/2026 14:00,Pisa,Como
19,06/01/2026 14:00,Sassuolo,Juventus
19,06/01/2026 14:00,Torino,Udinese
20,11/01/2026 14:00,Atalanta,Torino
20,11/01/2026 14:00,Como,Bologna
20,11/01/2026 14:00,Fiorentina,Milan
20,11/01/2026 14:00,Genoa,Cagliari
20,11/01/2026 14:00,Inter,Napoli
20,11/01/2026 14:00,Juventus,Cremonese
20,11/01/2026 14:00,Lecce,Parma
20,11/01/2026 14:00,Roma,Sassuolo
20,11/01/2026 14:00,Udinese,Pisa
20,11/01/2026 14:00,Verona,Lazio
21,18/01/2026 14:00,Cremonese,Verona
21,18/01/2026 14:00,Lazio,Como
21,18/01/2026 14:00,Milan,Lecce
