match_date,league,HomeTeam,AwayTeam,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
13/08/2021,N1,Go Ahead Eagles,Heerenveen,0,1,NG,No,0,1,Away Win,3,11,14,Away Win,0,0,Draw
14/08/2021,N1,Waalwijk,AZ Alkmaar,1,0,NG,No,1,0,Home Win,4,6,10,Away Win,0,2,Away Win
14/08/2021,N1,Heracles,PSV Eindhoven,0,2,NG,No,0,1,Away Win,2,11,13,Away Win,2,2,Draw
14/08/2021,N1,For Sittard,Twente,2,1,GG,Yes,0,1,Away Win,8,5,13,Home Win,2,2,Draw
14/08/2021,N1,Ajax,Nijmegen,5,0,NG,Yes,5,0,Home Win,10,0,10,Home Win,0,0,Draw
15/08/2021,N1,Cambuur,Groningen,1,2,GG,Yes,0,1,Away Win,2,8,10,Away Win,0,0,Draw
15/08/2021,N1,Utrecht,Sparta Rotterdam,4,0,NG,Yes,1,0,Home Win,4,2,6,Home Win,1,3,Away Win
15/08/2021,N1,Zwolle,Vitesse,0,1,NG,No,0,1,Away Win,6,2,8,Home Win,0,2,Away Win
15/08/2021,N1,Willem II,Feyenoord,0,4,NG,Yes,0,2,Away Win,5,4,9,Home Win,1,0,Home Win
20/08/2021,N1,Nijmegen,Zwolle,2,0,NG,No,2,0,Home Win,2,5,7,Away Win,4,3,Home Win
21/08/2021,N1,Heerenveen,Waalwijk,3,2,GG,Yes,3,0,Home Win,2,7,9,Away Win,1,3,Away Win
21/08/2021,N1,PSV Eindhoven,Cambuur,4,1,GG,Yes,2,0,Home Win,11,3,14,Home Win,0,1,Away Win
21/08/2021,N1,Sparta Rotterdam,Heracles,1,1,GG,No,1,0,Home Win,4,9,13,Away Win,1,2,Away Win
21/08/2021,N1,Groningen,Utrecht,0,0,NG,No,0,0,Draw,5,4,9,Home Win,3,4,Away Win
22/08/2021,N1,Twente,Ajax,1,1,GG,No,0,0,Draw,1,7,8,Away Win,1,2,Away Win
22/08/2021,N1,Feyenoord,Go Ahead Eagles,2,0,NG,No,0,0,Draw,10,3,13,Home Win,1,1,Draw
22/08/2021,N1,Vitesse,Willem II,0,3,NG,Yes,0,2,Away Win,6,3,9,Home Win,4,2,Home Win
27/08/2021,N1,For Sittard,Waalwijk,2,2,GG,Yes,1,1,Draw,5,6,11,Away Win,1,1,Draw
28/08/2021,N1,Cambuur,Twente,2,0,NG,No,0,0,Draw,8,5,13,Home Win,1,4,Away Win
28/08/2021,N1,Go Ahead Eagles,Sparta Rotterdam,2,0,NG,No,1,0,Home Win,7,3,10,Home Win,1,3,Away Win
28/08/2021,N1,PSV Eindhoven,Groningen,5,2,GG,Yes,3,2,Home Win,7,7,14,Draw,1,0,Home Win
28/08/2021,N1,Willem II,Zwolle,1,0,NG,No,0,0,Draw,6,0,6,Home Win,0,0,Draw
29/08/2021,N1,Utrecht,Feyenoord,3,1,GG,Yes,1,1,Draw,8,6,14,Home Win,1,4,Away Win
29/08/2021,N1,Ajax,Vitesse,5,0,NG,Yes,3,0,Home Win,6,1,7,Home Win,0,2,Away Win
29/08/2021,N1,Heracles,Nijmegen,0,1,NG,No,0,0,Draw,7,1,8,Home Win,6,2,Home Win
29/08/2021,N1,Heerenveen,AZ Alkmaar,1,3,GG,Yes,1,1,Draw,3,7,10,Away Win,0,1,Away Win
11/09/2021,N1,Twente,Utrecht,1,0,NG,No,0,0,Draw,3,5,8,Away Win,4,4,Draw
11/09/2021,N1,Cambuur,Go Ahead Eagles,5,2,GG,Yes,1,1,Draw,1,5,6,Away Win,3,1,Home Win
11/09/2021,N1,Zwolle,Ajax,0,2,NG,No,0,1,Away Win,5,7,12,Away Win,1,3,Away Win
11/09/2021,N1,AZ Alkmaar,PSV Eindhoven,0,3,NG,Yes,0,1,Away Win,6,2,8,Home Win,2,2,Draw
12/09/2021,N1,Nijmegen,Willem II,0,0,NG,No,0,0,Draw,10,1,11,Home Win,1,2,Away Win
12/09/2021,N1,Groningen,Heerenveen,1,1,GG,No,0,1,Away Win,9,0,9,Home Win,3,4,Away Win
12/09/2021,N1,Sparta Rotterdam,For Sittard,3,1,GG,Yes,2,0,Home Win,3,4,7,Away Win,2,1,Home Win
12/09/2021,N1,Waalwijk,Vitesse,1,2,GG,Yes,1,1,Draw,7,2,9,Home Win,5,1,Home Win
17/09/2021,N1,Sparta Rotterdam,Nijmegen,1,1,GG,No,1,1,Draw,4,6,10,Away Win,2,3,Away Win
18/09/2021,N1,Heerenveen,For Sittard,1,0,NG,No,1,0,Home Win,7,2,9,Home Win,1,4,Away Win
18/09/2021,N1,Willem II,Groningen,2,1,GG,Yes,2,0,Home Win,5,4,9,Home Win,3,2,Home Win
18/09/2021,N1,Ajax,Cambuur,9,0,NG,Yes,4,0,Home Win,6,1,7,Home Win,0,0,Draw
18/09/2021,N1,Utrecht,Waalwijk,2,2,GG,Yes,1,2,Away Win,10,4,14,Home Win,1,3,Away Win
19/09/2021,N1,Go Ahead Eagles,Zwolle,1,0,NG,No,0,0,Draw,4,4,8,Draw,1,2,Away Win
19/09/2021,N1,PSV Eindhoven,Feyenoord,0,4,NG,Yes,0,1,Away Win,7,5,12,Home Win,2,2,Draw
19/09/2021,N1,Heracles,AZ Alkmaar,3,2,GG,Yes,1,1,Draw,1,7,8,Away Win,3,1,Home Win
