Round Number,Date,Home Team,Away Team,Time
1,08/08/2025 20:00,For Sittard,Go Ahead Eagles,20:00:00
1,09/08/2025 16:30,Nijmegen,Excelsior,16:30:00
1,09/08/2025 18:45,Feyenoord,NAC Breda,18:45:00
1,09/08/2025 20:00,Heerenveen,Volendam,20:00:00
1,09/08/2025 21:00,PSV Eindhoven,Sparta Rotterdam,21:00:00
1,10/08/2025 12:15,Zwolle,Twente,12:15:00
1,10/08/2025 14:30,AZ Alkmaar,Groningen,14:30:00
1,10/08/2025 14:30,Ajax,Telstar,14:30:00
1,10/08/2025 16:45,Utrecht,Heracles,16:45:00
2,15/08/2025 20:00,Telstar,Zwolle,20:00:00
2,16/08/2025 18:45,Excelsior,Feyenoord,18:45:00
2,16/08/2025 20:00,Heracles,Nijmegen,20:00:00
2,16/08/2025 21:00,Groningen,Heerenveen,21:00:00
2,17/08/2025 12:15,Go Ahead Eagles,Ajax,12:15:00
2,17/08/2025 14:30,Sparta Rotterdam,Utrecht,14:30:00
2,17/08/2025 14:30,Twente,PSV Eindhoven,14:30:00
2,17/08/2025 16:45,Volendam,AZ Alkmaar,16:45:00
2,17/08/2025 20:00,NAC Breda,For Sittard,20:00:00
3,23/08/2025 16:30,Go Ahead Eagles,Sparta Rotterdam,16:30:00
3,23/08/2025 18:45,PSV Eindhoven,Groningen,18:45:00
3,23/08/2025 21:00,Telstar,Volendam,21:00:00
3,24/08/2025 12:15,Heerenveen,Twente,12:15:00
3,24/08/2025 14:30,Nijmegen,NAC Breda,14:30:00
3,24/08/2025 14:30,Utrecht,Excelsior,14:30:00
3,24/08/2025 16:45,Ajax,Heracles,16:45:00
3,17/09/2025 20:00,Feyenoord,For Sittard,20:00:00
3,24/09/2025 20:00,AZ Alkmaar,Zwolle,20:00:00
4,29/08/2025 20:00,Groningen,Heracles,20:00:00
4,30/08/2025 16:30,Volendam,Ajax,16:30:00
4,30/08/2025 18:45,Heerenveen,Go Ahead Eagles,18:45:00
