match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
13/08/2021,SP1,Valencia,Getafe,1,0,NG,No,1,0,Home Win,1,9,10,Away Win,6,3,Home Win
14/08/2021,SP1,Cadiz,Levante,1,1,GG,No,0,1,Away Win,2,4,6,Away Win,1,5,Away Win
14/08/2021,SP1,Mallorca,Betis,1,1,GG,No,1,0,Home Win,4,3,7,Home Win,1,3,Away Win
14/08/2021,SP1,Alaves,Real Madrid,1,4,GG,Yes,0,0,Draw,0,4,4,Away Win,1,2,Away Win
14/08/2021,SP1,Osasuna,Espanol,0,0,NG,No,0,0,Draw,4,6,10,Away Win,3,3,Draw
15/08/2021,SP1,Celta,Ath Madrid,1,2,GG,Yes,0,1,Away Win,2,5,7,Away Win,4,5,Away Win
15/08/2021,SP1,Barcelona,Sociedad,4,2,GG,Yes,2,0,Home Win,5,3,8,Home Win,2,4,Away Win
15/08/2021,SP1,Sevilla,Vallecano,3,0,NG,Yes,1,0,Home Win,4,0,4,Home Win,1,0,Home Win
16/08/2021,SP1,Villarreal,Granada,0,0,NG,No,0,0,Draw,6,2,8,Home Win,5,1,Home Win
16/08/2021,SP1,Elche,Ath Bilbao,0,0,NG,No,0,0,Draw,6,8,14,Away Win,2,2,Draw
20/08/2021,SP1,Betis,Cadiz,1,1,GG,No,1,1,Draw,4,5,9,Away Win,4,0,Home Win
21/08/2021,SP1,Alaves,Mallorca,0,1,NG,No,0,0,Draw,1,8,9,Away Win,3,3,Draw
21/08/2021,SP1,Espanol,Villarreal,0,0,NG,No,0,0,Draw,9,7,16,Home Win,3,4,Away Win
21/08/2021,SP1,Granada,Valencia,1,1,GG,No,1,0,Home Win,2,6,8,Away Win,4,2,Home Win
21/08/2021,SP1,Ath Bilbao,Barcelona,1,1,GG,No,0,0,Draw,13,2,15,Home Win,1,2,Away Win
22/08/2021,SP1,Sociedad,Vallecano,1,0,NG,No,0,0,Draw,5,4,9,Home Win,3,4,Away Win
22/08/2021,SP1,Ath Madrid,Elche,1,0,NG,No,1,0,Home Win,2,1,3,Home Win,2,2,Draw
22/08/2021,SP1,Levante,Real Madrid,3,3,GG,Yes,0,1,Away Win,4,6,10,Away Win,3,2,Home Win
23/08/2021,SP1,Getafe,Sevilla,0,1,NG,No,0,0,Draw,5,4,9,Home Win,2,2,Draw
23/08/2021,SP1,Osasuna,Celta,0,0,NG,No,0,0,Draw,1,2,3,Away Win,4,3,Home Win
