Round Number,Date,Home Team,Away Team,Time
1,15/08/2025 17:00,Girona,Vallecano,17:00:00
1,15/08/2025 19:30,Villarreal,Real Oviedo,19:30:00
1,16/08/2025 17:30,Mallorca,Barcelona,17:30:00
1,16/08/2025 19:30,Alaves,Levante,19:30:00
1,16/08/2025 19:30,Valencia,Sociedad,19:30:00
1,17/08/2025 15:00,Celta,Getafe,15:00:00
1,17/08/2025 17:30,Ath Bilbao,Sevilla,17:30:00
1,17/08/2025 19:30,Espanol,Ath Madrid,19:30:00
1,18/08/2025 19:00,Elche,Betis,19:00:00
1,19/08/2025 19:00,Real Madrid,Osasuna,19:00:00
2,22/08/2025 19:30,Betis,Alaves,19:30:00
2,23/08/2025 15:00,Mallorca,Celta,15:00:00
2,23/08/2025 17:30,Ath Madrid,Elche,17:30:00
2,23/08/2025 19:30,Levante,Barcelona,19:30:00
2,24/08/2025 15:00,Osasuna,Valencia,15:00:00
2,24/08/2025 17:30,Sociedad,Espanol,17:30:00
2,24/08/2025 17:30,Villarreal,Girona,17:30:00
2,24/08/2025 19:30,Real Oviedo,Real Madrid,19:30:00
2,25/08/2025 17:30,Ath Bilbao,Vallecano,17:30:00
2,25/08/2025 19:30,Sevilla,Getafe,19:30:00
3,29/08/2025 17:30,Elche,Levante,17:30:00
3,29/08/2025 19:30,Valencia,Getafe,19:30:00
3,30/08/2025 15:00,Alaves,Ath Madrid,15:00:00
3,30/08/2025 17:00,Real Oviedo,Sociedad,17:00:00
3,30/08/2025 17:30,Girona,Sevilla,17:30:00
3,30/08/2025 19:30,Real Madrid,Mallorca,19:30:00
3,31/08/2025 15:00,Celta,Villarreal,15:00:00
3,31/08/2025 17:00,Betis,Ath Bilbao,17:00:00
3,31/08/2025 17:30,Espanol,Osasuna,17:30:00
3,31/08/2025 19:30,Vallecano,Barcelona,19:30:00
4,12/09/2025 19:00,Sevilla,Elche,19:00:00
4,13/09/2025 12:00,Getafe,Real Oviedo,12:00:00
4,13/09/2025 14:15,Sociedad,Real Madrid,14:15:00
4,13/09/2025 16:30,Ath Bilbao,Alaves,16:30:00
4,13/09/2025 19:00,Ath Madrid,Villarreal,19:00:00
4,14/09/2025 12:00,Celta,Girona,12:00:00
4,14/09/2025 14:15,Levante,Betis,14:15:00
4,14/09/2025 16:30,Osasuna,Vallecano,16:30:00
4,14/09/2025 19:00,Barcelona,Valencia,19:00:00
4,15/09/2025 19:00,Espanol,Mallorca,19:00:00
5,19/09/2025 19:00,Betis,Sociedad,19:00:00
5,20/09/2025 12:00,Girona,Levante,12:00:00
5,20/09/2025 14:15,Real Madrid,Espanol,14:15:00
5,20/09/2025 16:30,Alaves,Sevilla,16:30:00
5,20/09/2025 16:30,Villarreal,Osasuna,16:30:00
5,20/09/2025 19:00,Valencia,Ath Bilbao,19:00:00
5,21/09/2025 12:00,Vallecano,Celta,12:00:00
5,21/09/2025 14:15,Mallorca,Ath Madrid,14:15:00
5,21/09/2025 16:15,Elche,Real Oviedo,16:15:00
5,21/09/2025 19:00,Barcelona,Getafe,19:00:00
6,27/08/2025 19:00,Celta,Betis,19:00:00
6,23/09/2025 17:00,Ath Bilbao,Girona,17:00:00
6,23/09/2025 17:00,Espanol,Valencia,17:00:00
6,23/09/2025 19:30,Levante,Real Madrid,19:30:00
6,23/09/2025 19:30,Sevilla,Villarreal,19:30:00
6,24/09/2025 17:00,Getafe,Alaves,17:00:00
6,24/09/2025 19:30,Ath Madrid,Vallecano,19:30:00
6,24/09/2025 19:30,Sociedad,Mallorca,19:30:00
6,25/09/2025 17:30,Osasuna,Elche,17:30:00
6,25/09/2025 19:30,Real Oviedo,Barcelona,19:30:00
7,26/09/2025 19:00,Girona,Espanol,19:00:00
7,27/09/2025 12:00,Getafe,Levante,12:00:00
7,27/09/2025 14:15,Ath Madrid,Real Madrid,14:15:00
7,27/09/2025 16:30,Mallorca,Alaves,16:30:00
7,27/09/2025 19:00,Villarreal,Ath Bilbao,19:00:00
7,28/09/2025 12:00,Vallecano,Sevilla,12:00:00
7,28/09/2025 14:15,Elche,Celta,14:15:00
7,28/09/2025 16:30,Barcelona,Sociedad,16:30:00
7,28/09/2025 19:00,Betis,Osasuna,19:00:00
7,30/09/2025 18:00,Valencia,Real Oviedo,18:00:00
8,03/10/2025 19:00,Osasuna,Getafe,19:00:00
8,04/10/2025 12:00,Real Oviedo,Levante,12:00:00
8,04/10/2025 14:15,Girona,Valencia,14:15:00
8,04/10/2025 16:30,Ath Bilbao,Mallorca,16:30:00
8,04/10/2025 19:00,Real Madrid,Villarreal,19:00:00
8,05/10/2025 12:00,Alaves,Elche,12:00:00
8,05/10/2025 14:15,Sevilla,Barcelona,14:15:00
8,05/10/2025 16:30,Espanol,Betis,16:30:00
8,05/10/2025 16:30,Sociedad,Vallecano,16:30:00
8,05/10/2025 19:00,Celta,Ath Madrid,19:00:00
9,17/10/2025 19:00,Real Oviedo,Espanol,19:00:00
9,18/10/2025 12:00,Sevilla,Mallorca,12:00:00
9,18/10/2025 14:15,Barcelona,Girona,14:15:00
